               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
48,0.041578,0.012073,0,0.8255,0.90476,0.90975,0.38551,0.043859,0.012054,0,0.0027669,0.0027669,0.073467
49,0.042521,0.01173,0,0.75198,0.94048,0.79339,0.16426,0.043374,0.011494,0,0.0028167,0.0028167,0.072917
50,0.038882,0.01169,0,0.78701,0.87981,0.89059,0.40737,0.034912,0.011588,0,0.0028661,0.0028661,0.072366
51,0.041837,0.011577,0,0.85533,0.84462,0.92722,0.53231,0.036784,0.011508,0,0.0029151,0.0029151,0.071815
52,0.036091,0.011492,0,0.80176,0.86905,0.90327,0.5536,0.035723,0.010623,0,0.0029637,0.0029637,0.071264
53,0.036965,0.011433,0,0.7328,0.82143,0.84884,0.3588,0.036903,0.010748,0,0.0030118,0.0030118,0.070712
54,0.036679,0.010852,0,0.925,0.88092,0.95852,0.29524,0.037058,0.010636,0,0.0030595,0.0030595,0.07016
55,0.037848,0.011994,0,0.87234,0.97617,0.93579,0.57026,0.037761,0.01042,0,0.0031068,0.0031068,0.069607
56,0.038967,0.010915,0,0.88763,0.94041,0.95266,0.41168,0.037118,0.0099513,0,0.0031536,0.0031536,0.069054
57,0.037191,0.010967,0,0.89875,0.95238,0.95574,0.37451,0.033052,0.010283,0,0.0032,0.0032,0.0685
58,0.035505,0.010366,0,0.86738,0.85714,0.93102,0.65925,0.032174,0.0098943,0,0.0032459,0.0032459,0.067946
59,0.039218,0.010955,0,0.87774,0.94014,0.95226,0.24237,0.05132,0.0092989,0,0.0032913,0.0032913,0.067391
60,0.038671,0.0099805,0,0.77644,0.78556,0.82304,0.42975,0.038152,0.0094224,0,0.0033363,0.0033363,0.066836
61,0.03504,0.0097052,0,0.5502,0.97568,0.74522,0.2632,0.034578,0.0095726,0,0.0033808,0.0033808,0.066281
62,0.034789,0.010108,0,0.94162,0.96429,0.98433,0.50401,0.030023,0.0096855,0,0.0034248,0.0034248,0.065725
63,0.032013,0.010112,0,0.82333,0.78571,0.85219,0.4604,0.034465,0.009224,0,0.0034683,0.0034683,0.065168
64,0.036999,0.0097299,0,0.94112,0.95238,0.95247,0.54318,0.03568,0.0092876,0,0.0035114,0.0035114,0.064611
65,0.034458,0.0086713,0,0.91919,0.95238,0.97032,0.60851,0.029125,0.0090625,0,0.0035539,0.0035539,0.064054
66,0.032973,0.0095888,0,0.85379,0.97619,0.93985,0.52707,0.03418,0.0090948,0,0.0035959,0.0035959,0.063496
67,0.034627,0.0087758,0,0.81368,0.98782,0.94542,0.49755,0.033,0.0088185,0,0.0036374,0.0036374,0.062937
68,0.035778,0.0092026,0,0.90107,0.97584,0.97812,0.61723,0.034148,0.0088028,0,0.0036784,0.0036784,0.062378
69,0.034554,0.010302,0,0.98809,0.98782,0.99003,0.45652,0.031663,0.0085908,0,0.0037188,0.0037188,0.061819
70,0.037812,0.009257,0,0.78093,0.97604,0.91014,0.36455,0.038193,0.0088513,0,0.0037588,0.0037588,0.061259
71,0.034588,0.0088287,0,0.78293,0.9881,0.84301,0.37695,0.034848,0.0085651,0,0.0037982,0.0037982,0.060698
72,0.032246,0.0083851,0,0.93776,0.90476,0.96819,0.62666,0.029496,0.0087727,0,0.003837,0.003837,0.060137
73,0.032263,0.0088,0,0.66391,0.96419,0.77935,0.37887,0.033491,0.0084872,0,0.0038753,0.0038753,0.059575
74,0.032003,0.00853,0,0.92845,0.92857,0.96082,0.5137,0.030423,0.0083801,0,0.0039131,0.0039131,0.059013
75,0.030085,0.0076882,0,1,0.98805,0.98954,0.59854,0.03331,0.0080326,0,0.0039503,0.0039503,0.05845
76,0.029068,0.0084549,0,0.95294,0.96422,0.97987,0.71756,0.025027,0.0079629,0,0.003987,0.003987,0.057887
77,0.032431,0.0081146,0,0.88859,0.95238,0.95678,0.60227,0.032014,0.0079793,0,0.004023,0.004023,0.057323
78,0.032586,0.008094,0,0.69216,0.96429,0.79123,0.3696,0.037512,0.0079278,0,0.0040586,0.0040586,0.056759
79,0.03216,0.0086986,0,0.98795,0.97604,0.98933,0.69398,0.027312,0.0080049,0,0.0040935,0.0040935,0.056194
80,0.031745,0.0080851,0,0.85166,0.89286,0.91503,0.4291,0.033574,0.0080773,0,0.0041279,0.0041279,0.055628
81,0.035018,0.0083015,0,0.91194,0.9881,0.96105,0.48895,0.034,0.0078012,0,0.0041617,0.0041617,0.055062
82,0.032761,0.0080458,0,0.93153,0.97619,0.98338,0.48637,0.033813,0.0079401,0,0.0041949,0.0041949,0.054495
83,0.041375,0.0080562,0,0.67887,0.88083,0.80172,0.3445,0.042888,0.0078618,0,0.0042275,0.0042275,0.053927
84,0.043443,0.0086882,0,0.97618,0.97591,0.98505,0.66395,0.025997,0.0091184,0,0.0042595,0.0042595,0.05336
85,0.038308,0.0089846,0,0.62492,0.95208,0.80012,0.53203,0.030662,0.0082853,0,0.004291,0.004291,0.052791
86,0.038523,0.0088379,0,0.9874,0.94048,0.98535,0.70177,0.024607,0.0091621,0,0.0043218,0.0043218,0.052222
87,0.034622,0.0085172,0,0.90206,0.9881,0.97261,0.66555,0.031355,0.0081168,0,0.004352,0.004352,0.051652
88,0.036863,0.0079113,0,0.97406,0.90476,0.98114,0.55675,0.0281,0.0081837,0,0.0043816,0.0043816,0.051082
89,0.033924,0.007992,0,0.99992,0.9881,0.99141,0.70444,0.024851,0.0086516,0,0.0044106,0.0044106,0.050511
90,0.034829,0.0078515,0,0.93827,0.90471,0.96861,0.55386,0.03094,0.0080281,0,0.004439,0.004439,0.049939
91,0.042464,0.0079715,0,0.94251,0.97583,0.98324,0.56015,0.029312,0.0082933,0,0.0044668,0.0044668,0.049367
92,0.036095,0.0084056,0,0.99993,0.9881,0.9884,0.71811,0.026263,0.0076649,0,0.004494,0.004494,0.048794
93,0.038149,0.0081783,0,0.70312,0.9881,0.87371,0.55637,0.030837,0.007906,0,0.0045205,0.0045205,0.048221
94,0.035668,0.0085327,0,0.99993,0.9881,0.98916,0.72916,0.023566,0.0079544,0,0.0045465,0.0045465,0.047646
95,0.035811,0.0076073,0,0.66649,0.92857,0.79262,0.37414,0.033529,0.0080065,0,0.0045718,0.0045718,0.047072
96,0.037302,0.0092548,0,0.99996,0.9881,0.9906,0.64118,0.022856,0.0078548,0,0.0045964,0.0045964,0.046496
97,0.043297,0.008016,0,0.87631,0.92857,0.93025,0.32957,0.046373,0.0075322,0,0.0046205,0.0046205,0.04592
98,0.043337,0.0085687,0,0.95388,0.9881,0.97561,0.66098,0.025331,0.0089834,0,0.0046439,0.0046439,0.045344
99,0.030467,0.0083307,0,0.99998,0.9881,0.99087,0.71483,0.023662,0.0076685,0,0.0046666,0.0046666,0.044767
100,0.034884,0.0079794,0,0.8924,0.9881,0.97239,0.57896,0.029651,0.0076124,0,0.0046887,0.0046887,0.044189
101,0.034601,0.0079864,0,1,0.98802,0.99075,0.72808,0.022284,0.0076999,0,0.0047102,0.0047102,0.04361
102,0.036434,0.0081383,0,0.77412,0.94048,0.91671,0.40265,0.032258,0.0075893,0,0.0047311,0.0047311,0.043031
103,0.035087,0.007552,0,0.9647,0.97589,0.98677,0.76094,0.02649,0.007568,0,0.0047513,0.0047513,0.042451
104,0.030301,0.007792,0,0.99998,0.9881,0.992,0.66514,0.021192,0.0073665,0,0.0047709,0.0047709,0.041871
105,0.029837,0.0066574,0,1,0.98809,0.9925,0.79507,0.025314,0.0069952,0,0.0047898,0.0047898,0.04129
106,0.033962,0.0067355,0,0.99994,0.9881,0.99212,0.71566,0.023997,0.0073505,0,0.0048081,0.0048081,0.040708
